Species,HAGRID,Lifespan
Caenorhabditis elegans,4230,0.16
Drosophila melanogaster,4,0.3
Hypoptychus dybowskii,286,1
Galaxiella nigrostriata,311,1
Nothobranchius furzeri,224,1.1
Menidia menidia,42,2
Cololabis saira,46,2
Cyprinella lutrensis,144,2
Leucaspius delineatus,158,2
Culaea inconstans,283,2
Betta splendens,490,2
Harengula jaguana,77,3
Engraulis encrasicolus,89,3
Engraulis japonicus,90,3
Phoxinus eos,136,3
Notropis stramineus,194,3
Phenacobius mirabilis,202,3
Gambusia affinis,239,3
Apeltes quadracus,282,3
Plecoglossus altivelis,317,3
Elassoma zonatum,393,3
Oncorhynchus gorbuscha,696,3
Metachirus nudicaudatus,2933,3
Echymipera rufescens,3059,3.1
Neomys fodiens,3649,3.1
Suncus murinus,3664,3.2
Mogera wogura,3667,3.2
Chamaeleo chamaeleon,3753,3.6
Rattus norvegicus,3502,3.8
Rattus norvegicus,3502,3.8
Ceryle rudis,1347,3.9
Mesocricetus auratus,3435,3.9
Dorosoma petenense,74,4
Etheostoma radiosum,522,4
Aphredoderus sayanus,641,4
Lethenteron reissneri,2219,4
Mus musculus,3454,4
Mus musculus,3454,4
Mus musculus,3454,4
Mus musculus,3454,4
Mus musculus,3454,4
Crocidura russula,3644,4
Chamaeleo dilepis,3754,4
Rattus rattus,3503,4.2
Apodemus peninsulae,3381,4.4
Rattus lutreolus,3501,4.4
Hippocampus erectus,287,4.7
Oryzias latipes,44,5
Hepsetus odoe,57,5
Clupeonella cultriventris,72,5
Cyprinella spiloptera,145,5
Rhodeus sericeus,214,5
Poecilia reticulata,240,5
Pungitius pungitius,285,5
Hypomesus olidus,312,5
Auxis thazard,582,5
Oncorhynchus kisutch,698,5
Microhyla ornata,902,5
Coturnix chinensis,1397,5
Sminthopsis crassicaudata,2909,5
Calotes versicolor,3700,5
Monodelphis domestica,2936,5.1
Rattus fuscipes,3500,5.3
Thryonomys swinderianus,3628,5.4
Danio rerio,148,5.5
Regulus calendula,1773,5.6
Carduelis psaltria,1577,5.7
Dasyurus hallucatus,2892,5.9
Phascogale tapoatafa,2899,5.9
Acomys cahirinus,3369,5.9
Dorosoma cepedianum,73,6
Sprattus sprattus,84,6
Erimyzon oblongus,110,6
Minytrema melanops,116,6
Percopsis transmontana,643,6
Trinectes maculatus,644,6
Coturnix japonica,1399,6
Callorhinchus milii,2265,6
Perameles gunnii,3064,6.1
Meriones unguiculatus,3431,6.3
Colinus virginianus,1391,6.4
Osteoglossum bicirrhosum,327,6.5
Didelphis virginiana,2926,6.6
Isoodon macrourus,3061,6.8
Pseudomys chapmani,3495,6.8
Barbatula barbatula,93,7
Boreogadus saida,249,7
Aldrichetta forsteri,299,7
Osmerus mordax,316,7
Sillago sihama,616,7
Oncorhynchus keta,697,7
Emberiza aureola,1531,7
Lethenteron camtschaticum,2217,7
Ochotona princeps,3042,7
Hynobius leechii,948,7.1
Tetrastes bonasia,1416,7.2
