Species,Family,Order,Class,Common name
Acipenser schrenckii,Acipenseridae,Acipenseriformes,Actinopterygii,
Huso dauricus,Acipenseridae,Acipenseriformes,Actinopterygii,kaluga
Acipenser ruthenus,Acipenseridae,Acipenseriformes,Actinopterygii,sterlet
Acipenser baerii,Acipenseridae,Acipenseriformes,Actinopterygii,Siberian sturgeon
Acipenser stellatus,Acipenseridae,Acipenseriformes,Actinopterygii,sevruga
Acipenser dabryanus,Acipenseridae,Acipenseriformes,Actinopterygii,Yangtze sturgeon
Huso huso,Acipenseridae,Acipenseriformes,Actinopterygii,European sturgeon
Acipenser transmontanus,Acipenseridae,Acipenseriformes,Actinopterygii,esturion blanco
Scaphirhynchus cf.,Acipenseridae,Acipenseriformes,Actinopterygii,shovelnose sturgeons
Acipenser sinensis,Acipenseridae,Acipenseriformes,Actinopterygii,Chinese sturgeon
Acipenser gueldenstaedtii,Acipenseridae,Acipenseriformes,Actinopterygii,Russian sturgeon
Psephurus gladius,Polyodontidae,Acipenseriformes,Actinopterygii,Chinese paddlefish
Polyodon spathula,Polyodontidae,Acipenseriformes,Actinopterygii,American paddlefish
Pterothrissus gissu,Albulidae,Albuliformes,Actinopterygii,
Albula glossodonta,Albulidae,Albuliformes,Actinopterygii,Indo-Pacific bonefish
Aldrovandia affinis,Halosauridae,Albuliformes,Actinopterygii,halosaur
Notacanthus chemnitzi,Notacanthidae,Albuliformes,Actinopterygii,snubnosed spiny eel
Amia calva,Amiidae,Amiiformes,Actinopterygii,bowfin
Anguilla bicolor,Anguillidae,Anguilliformes,Actinopterygii,Indonesian shortfin eel
Anguilla rostrata,Anguillidae,Anguilliformes,Actinopterygii,American eel
Anguilla japonica,Anguillidae,Anguilliformes,Actinopterygii,Japanese eel
Anguilla bengalensis,Anguillidae,Anguilliformes,Actinopterygii,
Anguilla malgumora,Anguillidae,Anguilliformes,Actinopterygii,Indonesian longfinned eel
Anguilla interioris,Anguillidae,Anguilliformes,Actinopterygii,New Guinea eel
Anguilla nebulosa,Anguillidae,Anguilliformes,Actinopterygii,long-finned eel
Anguilla obscura,Anguillidae,Anguilliformes,Actinopterygii,Pacific shortfinned eel
Anguilla megastoma,Anguillidae,Anguilliformes,Actinopterygii,Polynesian longfinned eel
Anguilla australis,Anguillidae,Anguilliformes,Actinopterygii,Australian shortfinned eel
Anguilla australis,Anguillidae,Anguilliformes,Actinopterygii,Australian shortfinned eel
Anguilla dieffenbachii,Anguillidae,Anguilliformes,Actinopterygii,
Anguilla bicolor,Anguillidae,Anguilliformes,Actinopterygii,Indonesian shortfin eel
Anguilla reinhardtii,Anguillidae,Anguilliformes,Actinopterygii,Australian longfinned eel
Anguilla mossambica,Anguillidae,Anguilliformes,Actinopterygii,
Anguilla celebesensis,Anguillidae,Anguilliformes,Actinopterygii,Indonesian mottled eel
Anguilla marmorata,Anguillidae,Anguilliformes,Actinopterygii,anguilla moteada gigante
Anguilla anguilla,Anguillidae,Anguilliformes,Actinopterygii,European eel
Anguilla luzonensis,Anguillidae,Anguilliformes,Actinopterygii,freshwater eels
Thalassenchelys sp.,Chlopsidae,Anguilliformes,Actinopterygii,
Kaupichthys hyoproroides,Chlopsidae,Anguilliformes,Actinopterygii,anguililla de arrecife
Robinsia catherinae,Chlopsidae,Anguilliformes,Actinopterygii,
Coloconger cadenati,Colocongridae,Anguilliformes,Actinopterygii,
Conger japonicus,Congridae,Anguilliformes,Actinopterygii,beach conger
Leptocephalus sp.,Congridae,Anguilliformes,Actinopterygii,
Ariosoma shiroanago,Congridae,Anguilliformes,Actinopterygii,
Paraconger notialis,Congridae,Anguilliformes,Actinopterygii,
Heteroconger hassi,Congridae,Anguilliformes,Actinopterygii,
Conger myriaster,Congridae,Anguilliformes,Actinopterygii,
Derichthys serpentinus,Derichthyidae,Anguilliformes,Actinopterygii,narrowneck eel
Nessorhamphus ingolfianus,Derichthyidae,Anguilliformes,Actinopterygii,spoonbill eel
Pythonichthys microphthalmus,Heterenchelyidae,Anguilliformes,Actinopterygii,
Moringua microchir,Moringuidae,Anguilliformes,Actinopterygii,spaghetti eel
Moringua edwardsi,Moringuidae,Anguilliformes,Actinopterygii,morenita
Cynoponticus ferox,Muraenesocidae,Anguilliformes,Actinopterygii,
Muraenesox bagio,Muraenesocidae,Anguilliformes,Actinopterygii,common pike conger
